,source,target
0,/,/info/cookie-policy
1,/,/chi-siamo
2,/,/
3,/,/home
4,/,/offerta/casa
5,/,/offerta/casa/gas-e-luce
6,/,/offerta/casa/caldaie
7,/,/offerta/casa/condizionatori-climatizzatori
8,/,/offerta/casa/servizi
9,/,/offerta/casa/nuova-fornitura
10,/,/offerta/casa/assicurazione-casa-salvaimpianti-eni-axa
11,/,/offerta/casa/eni-led-idealed
12,/,/offerta/business
13,/,/offerta/business/gas-e-luce
14,/,/offerta/business/servizi
15,/,/offerta/business/nuova-fornitura
16,/,/energie-intelligenti
17,/,/energie-intelligenti/genius-eni
18,/,/energie-intelligenti/magazine
19,/,/energie-intelligenti/consigli
20,/,/energie-intelligenti/profilo-energetico
21,/,/energy-store
22,/,/energy-store/trova
23,/,/energy-store/diventa-partner
24,/,/my-eni/dashboard-area-riservata
25,/,/home
26,/,/offerta/casa
27,/,/offerta/casa/gas-e-luce
28,/,/offerta/casa/caldaie
29,/,/offerta/casa/condizionatori-climatizzatori
30,/,/offerta/casa/servizi
31,/,/offerta/casa/nuova-fornitura
32,/,/offerta/casa/assicurazione-casa-salvaimpianti-eni-axa
33,/,/offerta/casa/eni-led-idealed
34,/,/offerta/business
35,/,/offerta/business/gas-e-luce
36,/,/offerta/business/servizi
37,/,/offerta/business/nuova-fornitura
38,/,/energie-intelligenti
39,/,/energie-intelligenti/genius-eni
40,/,/energie-intelligenti/magazine
41,/,/energie-intelligenti/consigli
42,/,/energie-intelligenti/profilo-energetico
43,/,/energy-store
44,/,/energy-store/trova
45,/,/energy-store/diventa-partner
46,/,/chi-siamo
47,/,/promozione-primavera
48,/,/promozione-primavera-business
49,/,/offerta/casa/gas-e-luce/offertalink-gas-luce
50,/,/offerta/business/gas-e-luce/easy-luce
51,/,/offerta/casa/gas-e-luce/easy-gas-luce
52,/,/offerta/business/gas-e-luce/sottocontrollo-luce
53,/,/offerta/business/gas-e-luce/offertalink-luce
54,/,/offerta/casa/gas-e-luce/led-per-casa-gas-luce
55,/,/energie-intelligenti/genius-eni
56,/,/energie-intelligenti/profilo-energetico
57,/,/offerta/business/gas-e-luce/myenergy
58,/,/tutela-simile-eni
59,/,/home?modal=modal-myeni-login
60,/,/home?modal=modal-myeni-login
61,/,/info/autolettura-gas
62,/,/app-eni-gas-e-luce
63,/,/tutela-simile-eni
64,/,/info/servizio-tutela-gas
65,/,/info/canone-rai-in-bolletta
66,/,/info/lettura-bolletta
67,/,/info/comunicazioni-aeeg
68,/,/info/coefficiente-c-gas
69,/,/info/glossario
70,/,/info/faq
71,/,/info/mercato-libero
72,/,/info/sportelli-eni
73,/,/offerta/casa/gas-e-luce/offertalink-gas-luce
74,/,/offerta/casa/gas-e-luce/led-per-casa-gas-luce
75,/,/offerta/casa/gas-e-luce/sottocontrollo-gas-luce
76,/,/offerta/casa/gas-e-luce/fixa-gas-luce
77,/,/offerta/casa/gas-e-luce/offerte-energia-elettrica
78,/,/offerta/business/gas-e-luce/myenergy
79,/,/offerta/business/gas-e-luce/sottocontrollo-luce
80,/,/offerta/business/gas-e-luce/offertalink-luce
81,/,/offerta/business/gas-e-luce/easy-luce
82,/,/offerta/business/gas-e-luce/easy-condominio-luce
83,/,/energy-store
84,/,/contatti/parlare-con-noi
85,/,/energy-store/diventa-partner
86,/,/contatti/parlare-con-noi
87,/,/energy-store/trova
88,/,/offerta/casa/nuova-fornitura
89,/,/agenti-eni-candidatura
90,/,/info/guida-al-cliente
91,/,/info/come-riconoscere-agenti-eni
92,/,/info/livelli-qualita
93,/,/info/segnalazione-eni-come-inviare
94,/,/info/informativa-dati-cliente
95,/,/info/fornitori-ultima-istanza
96,/,/info/assicurazione-clienti-finali-civili
97,/,/info/sicurezza-post-contatore
98,/,/info/indagine-qualita-callcenter
99,/,/info/costituzione-in-mora
100,/,/info/bonus-sociale-gas
101,/,/info/bonus-sociale-energia-elettrica
102,/,/info/servizio-tutela-gas
103,/,/info/accessibilita
104,/,/info/termini-e-condizioni
105,/,/info/privacy-policy
106,/,/info/cookie-policy
107,/info/cookie-policy,/info/cookie-policy
108,/info/cookie-policy,/chi-siamo
109,/info/cookie-policy,/
110,/info/cookie-policy,/home
111,/info/cookie-policy,/offerta/casa
112,/info/cookie-policy,/offerta/casa/gas-e-luce
113,/info/cookie-policy,/offerta/casa/caldaie
114,/info/cookie-policy,/offerta/casa/condizionatori-climatizzatori
115,/info/cookie-policy,/offerta/casa/servizi
116,/info/cookie-policy,/offerta/casa/nuova-fornitura
117,/info/cookie-policy,/offerta/casa/assicurazione-casa-salvaimpianti-eni-axa
118,/info/cookie-policy,/offerta/casa/eni-led-idealed
119,/info/cookie-policy,/offerta/business
120,/info/cookie-policy,/offerta/business/gas-e-luce
121,/info/cookie-policy,/offerta/business/servizi
122,/info/cookie-policy,/offerta/business/nuova-fornitura
123,/info/cookie-policy,/energie-intelligenti
124,/info/cookie-policy,/energie-intelligenti/genius-eni
125,/info/cookie-policy,/energie-intelligenti/magazine
126,/info/cookie-policy,/energie-intelligenti/consigli
127,/info/cookie-policy,/energie-intelligenti/profilo-energetico
128,/info/cookie-policy,/energy-store
129,/info/cookie-policy,/energy-store/trova
130,/info/cookie-policy,/energy-store/diventa-partner
131,/info/cookie-policy,/my-eni/dashboard-area-riservata
132,/info/cookie-policy,/home
133,/info/cookie-policy,/offerta/casa
