,source,target,id
0,/,/irc/,0
1,/,/per-il-pubblico/,1
2,/,/per-sanitari/,2
3,/,/centri-di-formazione,3
4,/,/corsi,4
5,/,/manuali-e-pubblicazioni,5
6,/,/,6
7,/,/irc/,7
8,/,/irc/attivita/,8
9,/,/irc/struttura/,9
10,/,/irc/storia-e-principi/,10
11,/,/irc/congressi/,11
12,/,/irc/diventa-socio/,12
13,/,/irc/patrocini/,13
14,/,/irc/eventi-patrocinati-irc/,14
15,/,/irc/fondazione-irc/,15
16,/,/irc/contatti/,16
17,/,/irc/link-utili/,17
18,/,/irc/archivio/,18
19,/,/per-il-pubblico/,19
20,/,/per-il-pubblico/apps-games/,20
21,/,/per-il-pubblico/kids-save-lives/,21
22,/,/per-il-pubblico/settimana-viva/,22
23,/,/per-sanitari/,23
24,/,/centri-di-formazione,24
25,/,/centri-di-formazione/iscriversi-un-corso-irc/,25
26,/,/centri-di-formazione/calendario-corsi/,26
27,/,/centri-di-formazione/verifica-attestati/,27
28,/,/centri-di-formazione/scarica-lattestato/,28
29,/,/centri-di-formazione/accreditamento-centri-di-formazione/,29
30,/,/corsi,30
31,/,/manuali-e-pubblicazioni,31
32,/,/manuali-e-pubblicazioni/irc-edizioni/,32
33,/,/manuali-e-pubblicazioni/modalita-spedizione-ordine-cartaceo/,33
34,/,/,34
35,/,/per-sanitari/,35
36,/,/per-sanitari/congresso-nazionale-irc-2017/,36
37,/,/per-sanitari/congresso-nazionale-irc-2017/,37
38,/,/per-sanitari/,38
39,/,/per-il-pubblico/dona-5x1000-alla-fondazione-irc/,39
40,/,/per-il-pubblico/dona-5x1000-alla-fondazione-irc/,40
41,/,/per-il-pubblico/,41
42,/,/senza-categoria/iscriversi-ai-corsi-irc/,42
43,/,/senza-categoria/iscriversi-ai-corsi-irc/,43
44,/,/per-sanitari/,44
45,/,/per-sanitari/nuovo-database-irc/,45
46,/,/per-sanitari/nuovo-database-irc/,46
47,/,/per-sanitari/,47
48,/,/per-sanitari/assemblea-ordinaria-soci-irc/,48
49,/,/per-sanitari/assemblea-ordinaria-soci-irc/,49
50,/,/per-sanitari/,50
51,/,/per-sanitari/quota-associativa-2017/,51
52,/,/per-sanitari/quota-associativa-2017/,52
53,/,/irc,53
54,/,/irc/fondazione-irc/,54
55,/,/irc/fondazione-irc/,55
56,/,/corsi/irc-edu/,56
57,/,/corsi/irc-edu/,57
58,/,/irc/congressi,58
59,/,/irc/congressi,59
60,/,/per-il-pubblico/kids-save-lives/,60
61,/,/per-il-pubblico/kids-save-lives/,61
62,/,/,62
63,/,/,63
64,/,/per-il-pubblico/,64
